session,condition,time,data,experiment
9,0,0,0.05357142857142857,sc
9,0,1,0.125,sc
9,0,2,0.125,sc
9,0,3,0.08928571428571429,sc
9,0,4,0.10714285714285714,sc
9,0,5,0.10714285714285714,sc
9,0,6,0.125,sc
9,0,7,0.16071428571428573,sc
9,0,8,0.03571428571428571,sc
9,0,9,0.07142857142857142,sc
9,1,0,0.13333333333333333,sc
9,1,1,0.15,sc
9,1,2,0.1,sc
9,1,3,0.08333333333333333,sc
9,1,4,0.08333333333333333,sc
9,1,5,0.15,sc
9,1,6,0.13333333333333333,sc
9,1,7,0.03333333333333333,sc
9,1,8,0.08333333333333333,sc
9,1,9,0.05,sc
10,0,0,0.1111111111111111,sc
10,0,1,0.1111111111111111,sc
10,0,2,0.1111111111111111,sc
10,0,3,0.0,sc
10,0,4,0.0,sc
10,0,5,0.1111111111111111,sc
10,0,6,0.0,sc
10,0,7,0.3333333333333333,sc
10,0,8,0.2222222222222222,sc
10,0,9,0.0,sc
10,1,0,0.0,sc
10,1,1,0.0,sc
10,1,2,0.0,sc
10,1,3,0.0,sc
10,1,4,0.3,sc
10,1,5,0.1,sc
10,1,6,0.2,sc
10,1,7,0.2,sc
10,1,8,0.1,sc
10,1,9,0.1,sc
11,0,0,0.06756756756756757,sc
11,0,1,0.12162162162162163,sc
11,0,2,0.13513513513513514,sc
11,0,3,0.12162162162162163,sc
11,0,4,0.05405405405405406,sc
11,0,5,0.13513513513513514,sc
11,0,6,0.10810810810810811,sc
11,0,7,0.13513513513513514,sc
11,0,8,0.05405405405405406,sc
11,0,9,0.06756756756756757,sc
11,1,0,0.2,sc
11,1,1,0.125,sc
11,1,2,0.15,sc
11,1,3,0.125,sc
11,1,4,0.1,sc
11,1,5,0.1,sc
11,1,6,0.05,sc
11,1,7,0.025,sc
11,1,8,0.05,sc
11,1,9,0.075,sc
12,0,0,0.12121212121212122,sc
12,0,1,0.18181818181818182,sc
12,0,2,0.030303030303030304,sc
12,0,3,0.06060606060606061,sc
12,0,4,0.030303030303030304,sc
12,0,5,0.06060606060606061,sc
12,0,6,0.12121212121212122,sc
12,0,7,0.21212121212121213,sc
12,0,8,0.09090909090909091,sc
12,0,9,0.09090909090909091,sc
12,1,0,0.06666666666666667,sc
12,1,1,0.06666666666666667,sc
12,1,2,0.0,sc
12,1,3,0.13333333333333333,sc
12,1,4,0.0,sc
12,1,5,0.0,sc
12,1,6,0.2,sc
12,1,7,0.2,sc
12,1,8,0.0,sc
12,1,9,0.3333333333333333,sc
13,0,0,,sc
13,0,1,,sc
13,0,2,,sc
13,0,3,,sc
13,0,4,,sc
13,0,5,,sc
13,0,6,,sc
13,0,7,,sc
13,0,8,,sc
13,0,9,,sc
13,1,0,,sc
13,1,1,,sc
13,1,2,,sc
13,1,3,,sc
13,1,4,,sc
13,1,5,,sc
13,1,6,,sc
13,1,7,,sc
13,1,8,,sc
13,1,9,,sc
14,0,0,,sc
14,0,1,,sc
14,0,2,,sc
14,0,3,,sc
14,0,4,,sc
14,0,5,,sc
14,0,6,,sc
14,0,7,,sc
14,0,8,,sc
14,0,9,,sc
14,1,0,,sc
14,1,1,,sc
14,1,2,,sc
14,1,3,,sc
14,1,4,,sc
14,1,5,,sc
14,1,6,,sc
14,1,7,,sc
14,1,8,,sc
14,1,9,,sc
15,0,0,,sc
15,0,1,,sc
15,0,2,,sc
15,0,3,,sc
15,0,4,,sc
15,0,5,,sc
15,0,6,,sc
15,0,7,,sc
15,0,8,,sc
15,0,9,,sc
15,1,0,,sc
15,1,1,,sc
15,1,2,,sc
15,1,3,,sc
15,1,4,,sc
15,1,5,,sc
15,1,6,,sc
15,1,7,,sc
15,1,8,,sc
15,1,9,,sc
16,0,0,0.1038961038961039,sc
16,0,1,0.1038961038961039,sc
16,0,2,0.12987012987012986,sc
16,0,3,0.14285714285714285,sc
16,0,4,0.06493506493506493,sc
16,0,5,0.12987012987012986,sc
16,0,6,0.12987012987012986,sc
16,0,7,0.07792207792207792,sc
16,0,8,0.05194805194805195,sc
16,0,9,0.06493506493506493,sc
16,1,0,0.07692307692307693,sc
16,1,1,0.09615384615384616,sc
16,1,2,0.09615384615384616,sc
16,1,3,0.11538461538461539,sc
16,1,4,0.1346153846153846,sc
16,1,5,0.1346153846153846,sc
16,1,6,0.07692307692307693,sc
16,1,7,0.07692307692307693,sc
16,1,8,0.07692307692307693,sc
16,1,9,0.11538461538461539,sc
17,0,0,0.14130434782608695,sc
17,0,1,0.05434782608695652,sc
17,0,2,0.09782608695652174,sc
17,0,3,0.08695652173913043,sc
17,0,4,0.10869565217391304,sc
17,0,5,0.07608695652173914,sc
17,0,6,0.09782608695652174,sc
17,0,7,0.09782608695652174,sc
17,0,8,0.11956521739130435,sc
17,0,9,0.11956521739130435,sc
17,1,0,0.034482758620689655,sc
17,1,1,0.1206896551724138,sc
17,1,2,0.15517241379310345,sc
17,1,3,0.13793103448275862,sc
17,1,4,0.10344827586206896,sc
17,1,5,0.13793103448275862,sc
17,1,6,0.06896551724137931,sc
17,1,7,0.06896551724137931,sc
17,1,8,0.13793103448275862,sc
17,1,9,0.034482758620689655,sc
18,0,0,,sc
18,0,1,,sc
18,0,2,,sc
18,0,3,,sc
18,0,4,,sc
18,0,5,,sc
18,0,6,,sc
18,0,7,,sc
18,0,8,,sc
18,0,9,,sc
18,1,0,,sc
18,1,1,,sc
18,1,2,,sc
18,1,3,,sc
18,1,4,,sc
18,1,5,,sc
18,1,6,,sc
18,1,7,,sc
18,1,8,,sc
18,1,9,,sc
19,0,0,0.225,sc
19,0,1,0.1,sc
19,0,2,0.15,sc
19,0,3,0.05,sc
19,0,4,0.05,sc
19,0,5,0.05,sc
19,0,6,0.1,sc
19,0,7,0.025,sc
19,0,8,0.15,sc
19,0,9,0.1,sc
19,1,0,0.2,sc
19,1,1,0.0,sc
19,1,2,0.2,sc
19,1,3,0.2,sc
19,1,4,0.0,sc
19,1,5,0.0,sc
19,1,6,0.0,sc
19,1,7,0.2,sc
19,1,8,0.0,sc
19,1,9,0.2,sc
20,0,0,0.04597701149425287,sc
20,0,1,0.05747126436781609,sc
20,0,2,0.11494252873563218,sc
20,0,3,0.11494252873563218,sc
20,0,4,0.12643678160919541,sc
20,0,5,0.11494252873563218,sc
20,0,6,0.11494252873563218,sc
20,0,7,0.13793103448275862,sc
20,0,8,0.12643678160919541,sc
20,0,9,0.04597701149425287,sc
20,1,0,0.08771929824561403,sc
20,1,1,0.08771929824561403,sc
20,1,2,0.12280701754385964,sc
20,1,3,0.08771929824561403,sc
20,1,4,0.10526315789473684,sc
20,1,5,0.12280701754385964,sc
20,1,6,0.07017543859649122,sc
20,1,7,0.08771929824561403,sc
20,1,8,0.14035087719298245,sc
20,1,9,0.08771929824561403,sc
21,0,0,0.16923076923076924,sc
21,0,1,0.1076923076923077,sc
21,0,2,0.12307692307692308,sc
21,0,3,0.06153846153846154,sc
21,0,4,0.06153846153846154,sc
21,0,5,0.1076923076923077,sc
21,0,6,0.06153846153846154,sc
21,0,7,0.046153846153846156,sc
21,0,8,0.12307692307692308,sc
21,0,9,0.13846153846153847,sc
21,1,0,0.1206896551724138,sc
21,1,1,0.08620689655172414,sc
21,1,2,0.10344827586206896,sc
21,1,3,0.034482758620689655,sc
21,1,4,0.10344827586206896,sc
21,1,5,0.10344827586206896,sc
21,1,6,0.06896551724137931,sc
21,1,7,0.1206896551724138,sc
21,1,8,0.1206896551724138,sc
21,1,9,0.13793103448275862,sc
22,0,0,0.08108108108108109,sc
22,0,1,0.16216216216216217,sc
22,0,2,0.13513513513513514,sc
22,0,3,0.02702702702702703,sc
22,0,4,0.05405405405405406,sc
22,0,5,0.1891891891891892,sc
22,0,6,0.13513513513513514,sc
22,0,7,0.08108108108108109,sc
22,0,8,0.10810810810810811,sc
22,0,9,0.02702702702702703,sc
22,1,0,0.0625,sc
22,1,1,0.0625,sc
22,1,2,0.0625,sc
22,1,3,0.03125,sc
22,1,4,0.09375,sc
22,1,5,0.03125,sc
22,1,6,0.125,sc
22,1,7,0.21875,sc
22,1,8,0.15625,sc
22,1,9,0.15625,sc
